phone,minTime,maxTime,k total,kw total,g total,gw total
K,23.497,23.567,,,,
K,29.332,29.432,,,,
G,31.142,31.192,,,,
K,63.038,63.148,,,,
K,74.114,74.234,,,,
K,75.591,75.681,,,,
K,77.693,77.793,,,,
K,104.11,104.19,,,,
K,105.57,105.69,,,,
K,123.834,123.914,,,,
K,169.661,169.751,,,,
K,174.405,174.495,,,,
K,175.015,175.105,,,,
K,178.089,178.179,,,,
K,192.798,192.858,,,,
G,205.089,205.169,,,,
K,207.689,207.739,,,,
G,220.108,220.188,,,,
G,230.126,230.176,,,,
K,230.996,231.066,,,,
K,244.973,245.043,,,,
G,246.966,247.016,,,,
G,262.139,262.249,,,,
G,288.342,288.402,,,,
K,295.03,295.14,,,,
K,298.719,298.779,,,,
K,300.209,300.319,,,,
G,302.899,302.999,,,,
K,324.33,324.37,,,,
K,337.434,337.494,,,,
G,357.665,357.725,,,,
K,389.064,389.144,,,,
K,393.792,393.892,,,,
K,418.366,418.476,,,,
K,423.282,423.412,,,,
K,423.822,423.892,,,,
K,429.948,430.028,,,,
K,446.523,446.613,,,,
K,463.639,463.709,,,,
K,477.765,477.795,,,,
K,480.975,481.015,,,,
K,493.267,493.357,,,,
K,508.948,509.028,,,,
K,516.605,516.725,,,,
G,522.773,522.833,,,,
K,531.758,531.808,,,,
K,532.838,532.928,,,,
K,540.714,540.774,,,,
K,550.538,550.618,,,,
K,583.747,583.827,,,,
K,590.294,590.404,,,,
K,590.504,590.564,,,,
K,601.382,601.452,,,,
K,608.792,608.852,,,,
K,610.682,610.712,,,,
K,639.281,639.411,,,,
G,640.481,640.531,,,,
K,642.051,642.161,,,,
K,642.301,642.401,,,,
K,643.561,643.681,,,,
K,648.248,648.368,,,,
K,656.136,656.216,,,,
K,656.566,656.626,,,,
K,660.626,660.716,,,,
G,661.106,661.166,,,,
G,662.496,662.546,,,,
K,672.176,672.256,,,,
K,674.186,674.356,,,,
G,677.119,677.179,,,,
K,685.108,685.228,,,,
K,686.028,686.138,,,,
K,688.434,688.524,,,,
K,711.489,711.539,,,,
K,715.66,715.73,,,,
K,717.5,717.54,,,,
K,720.03,720.06,,,,
K,726.32,726.42,,,,
K,732.989,733.039,,,,
K,739.458,739.558,,,,
K,743.494,743.584,,,,
K,745.784,745.834,,,,
K,748.357,748.417,,,,
K,753.287,753.357,,,,
K,761.153,761.203,,,,
K,768.568,768.668,,,,
K,775.222,775.312,,,,
K,779.1,779.14,,,,
K,780.64,780.73,,,,
K,793.887,793.957,,,,
K,795.857,795.937,,,,
K,799.22,799.3,,,,
K,799.81,799.89,,,,
K,804.22,804.33,,,,
K,806.37,806.43,,,,
K,806.93,806.99,,,,
K,821.587,821.677,,,,
K,823.027,823.097,,,,
K,826.67,826.74,,,,
G,832.68,832.77,,,,
K,833.17,833.26,,,,
K,834.5,834.53,,,,
K,846.173,846.283,,,,
K,862.185,862.255,,,,
K,862.745,862.805,,,,
K,875.369,875.439,,,,
K,878.979,879.059,,,,
K,882.039,882.099,,,,
K,891.731,891.771,,,,
K,901.133,901.203,,,,
K,924.436,924.536,,,,
K,929.265,929.365,,,,
K,961.746,961.846,,,,
K,962.466,962.546,,,,
K,963.523,963.583,,,,
K,965.453,965.523,,,,
G,966.053,966.083,,,,
K,979.98,980.04,,,,
K,982.096,982.156,,,,
K,982.666,982.726,,,,
K,984.416,984.496,,,,
K,988.329,988.419,,,,
K,1008.49,1008.56,,,,
K,1016.727,1016.797,,,,
K,1018.917,1018.957,,,,
K,1021.136,1021.246,,,,
G,1023.346,1023.406,,,,
K,1030.557,1030.637,,,,
K,1034.657,1034.687,,,,
K,1040.17,1040.25,,,,
G,1040.71,1040.76,,,,
G,1042.99,1043.07,,,,
K,1044.3,1044.34,,,,
K,1053.109,1053.139,,,,
G,1059.819,1059.859,,,,
K,1061.869,1061.939,,,,
K,1063.629,1063.669,,,,
K,1063.809,1063.859,,,,
K,1069.786,1069.886,,,,
K,1076.961,1077.051,,,,
K,1080.381,1080.451,,,,
G,1086.074,1086.134,,,,
K,1087.924,1087.994,,,,
K,1089.484,1089.564,,,,
K,1104.172,1104.262,,,,
K,1104.672,1104.742,,,,
K,1108.262,1108.322,,,,
K,1108.462,1108.532,,,,
G,1118.155,1118.185,,,,
K,1122.495,1122.585,,,,
K,1123.545,1123.615,,,,
K,1129.196,1129.236,,,,
K,1133.202,1133.282,,,,
G,1167.665,1167.755,,,,
K,1169.835,1169.925,,,,
K,1172.356,1172.406,,,,
K,1176.717,1176.787,,,,
K,1183.633,1183.733,,,,
K,1188.827,1188.957,,,,
G,1195.662,1195.692,,,,
G,1202.299,1202.369,,,,
K,1212.66,1212.75,,,,
K,1212.87,1212.99,,,,
K,1213.15,1213.22,,,,
K,1228.196,1228.306,,,,
G,1238.027,1238.087,,,,
K,1241.686,1241.716,,,,
K,1242.116,1242.166,,,,
K,1253.678,1253.748,,,,
K,1254.578,1254.688,,,,
K,1259.806,1259.876,,,,
G,1316.021,1316.071,,,,
K,1324.321,1324.381,,,,
K,1325.271,1325.371,,,,
K,1342.532,1342.592,,,,
G,1350.237,1350.287,,,,
K,1351.257,1351.367,,,,
K,1353.337,1353.477,,,,
K,1356.938,1356.988,,,,
K,1370.064,1370.174,,,,
G,1372.14,1372.19,,,,
G,1372.39,1372.48,,,,
K,1377.69,1377.78,,,,
K,1384.751,1384.841,,,,
G,1392.435,1392.465,,,,
G,1393.375,1393.445,,,,
G,1393.635,1393.755,,,,
K,1395.964,1396.074,,,,
K,1407.29,1407.35,,,,
K,1409.49,1409.54,,,,
K,1412.43,1412.47,,,,
K,1431.142,1431.222,,,,
K,1434.889,1434.939,,,,
K,1435.549,1435.659,,,,
K,1441.819,1441.909,,,,
K,1466.742,1466.852,,,,
K,1472.156,1472.216,,,,
K,1472.546,1472.606,,,,
K,1476.506,1476.566,,,,
K,1479.779,1479.879,,,,
K,1480.859,1480.949,,,,
K,1483.209,1483.309,,,,
K,1489.842,1489.912,,,,
K,1490.162,1490.222,,,,
K,1513.747,1513.837,,,,
K,1518.969,1519.009,,,,
K,1534.045,1534.135,,,,
G,1546.87,1546.91,,,,
K,1553.44,1553.47,,,,
G,1563.542,1563.602,,,,
K,1596.835,1596.965,,,,
G,1619.68,1619.74,,,,
G,1619.99,1620.04,,,,
K,1628.607,1628.657,,,,
K,1660.263,1660.333,,,,
G,1662.738,1662.788,,,,
K,1673.656,1673.686,,,,
K,1678.216,1678.246,,,,
K,1726.228,1726.388,,,,
K,1731.512,1731.602,,,,
G,1737.056,1737.106,,,,
K,1743.506,1743.586,,,,
K,1746.001,1746.051,,,,
K,1746.701,1746.771,,,,
K,1748.411,1748.481,,,,
K,1749.131,1749.181,,,,
K,1755.018,1755.068,,,,
K,1781.026,1781.116,,,,
G,1785.187,1785.257,,,,
K,1793.269,1793.329,,,,
G,1794.979,1795.039,,,,
K,1805.083,1805.233,,,,
K,1807.453,1807.483,,,,
K,1807.533,1807.623,,,,
K,1815.096,1815.136,,,,
,,,193,0,41,0
